,links,names,ratings,price for two,cuisine
37,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-domlur-bangalore/order,Paradise Biryani - A Legend Since 1953,4.3,₹300 for one,"Biryani, Kebab, North Indian, Rolls, Chinese, Desserts"
38,https://www.zomato.com/bangalore/subway-lavelle-road/order,Subway,3.7,₹300 for one,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages"
39,https://www.zomato.com/bangalore/madeena-hotel-vijay-nagar-bangalore/order,Madeena Hotel,-,₹300 for one,"Biryani, North Indian"
40,https://www.zomato.com/bangalore/wow-momo-1-brigade-road/order,WOW! Momo,4.1,₹300 for one,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts"
41,https://www.zomato.com/bangalore/paakashala-mg-road-bangalore/order,Paakashala,4.2,₹300 for one,"South Indian, North Indian, Biryani, Chinese, Street Food, Sandwich, Ice Cream, Beverages"
42,https://www.zomato.com/bangalore/nic-ice-creams-koramangala-8th-block-bangalore/order,NIC Ice Creams,4.6,₹300 for one,"Ice Cream, Desserts"
43,https://www.zomato.com/bangalore/andhra-gunpowder-frazer-town-bangalore/order,Andhra Gunpowder,4.2,₹300 for one,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi"
44,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-3-shanti-nagar-bangalore/order,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.1,₹300 for one,"Ice Cream, Desserts"
45,https://www.zomato.com/bangalore/the-belgian-waffle-co-seshadripuram-bangalore/order,The Belgian Waffle Co.,4.5,₹150 for one,"Waffle, Ice Cream, Desserts, Beverages"
46,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,Behrouz Biryani,4.0,₹150 for one,"Biryani, Kebab, North Indian"
47,https://www.zomato.com/bangalore/lassi-shop-cunningham-road/order,Lassi Shop,3.3,₹150 for one,"Fast Food, Ice Cream, Desserts, Shake, Beverages"
48,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,Anand Sweets And Savouries,4.3,₹150 for one,"Mithai, North Indian, Fast Food, Street Food"
49,https://www.zomato.com/bangalore/faasos-wraps-rolls-shanti-nagar-bangalore/order,Faasos - Wraps & Rolls,4.0,₹150 for one,"Rolls, Wraps, Shawarma"
50,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/order,The Pizza Bakery,4.2,₹150 for one,"Pizza, Pasta, Continental, Italian, Salad, Desserts, Beverages"
51,https://www.zomato.com/bangalore/bowl-soul-richmond-town-bangalore/order,Bowl Soul,4.0,₹150 for one,"Continental, Chinese, Oriental, Asian, Healthy Food, Sandwich"
52,https://www.zomato.com/bangalore/ammas-pastries-ulsoor/order,Amma's Pastries,4.1,₹150 for one,"Bakery, Desserts"
53,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-btm-bangalore/order,Narmada Chain Of Restaurants,4.2,₹150 for one,"Biryani, Andhra, North Indian"
54,https://www.zomato.com/bangalore/eatfit-vasanth-nagar-bangalore/order,EatFit,4.2,₹150 for one,"Healthy Food, Pizza, North Indian, Burger, Biryani, Chinese, Desserts, Beverages"
55,https://www.zomato.com/bangalore/shivanna-military-hotel-basaveshwara-nagar-bangalore/order,Shivanna Military Hotel,4.1,₹150 for one,"South Indian, Biryani, Chinese, Street Food"
56,https://www.zomato.com/bangalore/hotel-n-g-t-non-veg-vijay-nagar-bangalore/order,Hotel N.G.T Non Veg,4.1,₹150 for one,"Biryani, South Indian, Chinese"
57,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order,Sai Prasadam,4.0,₹100 for one,"South Indian, North Indian, Chinese"
