image,year,car_name,kms_driven,fuel,mode,price(lakhs),area,city
https://images10.gaadi.com/usedcar_image/3932163/original/processed_0abdba869a4f78eb71a3cc20876d1d2d.jpg?imwidth=420,2015,Toyota,"54,000",Petrol,Automatic,12.75,Santacruz(west) S.o, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"20,436",Petrol,Automatic,12.75,West, Thane
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Audi,"54,000",Diesel,Automatic,9.75,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Ford,"41,000",Diesel,Manual,4.95,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3913698/original/processed_b9aef4e8d662806d21ae5f4e9bf7a45a.jpeg?imwidth=420,2019,Mahindra,"60,000",Diesel,Manual,11.95,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Skoda,"10,919",Petrol,Automatic,16.45,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3921805/original/processed_75a91312e76ff29d62d8160c3f67eb2a.jpg?imwidth=420,2016,Ford,"92,000",Diesel,Automatic,24.99,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3943544/original/processed_2f282820217cfa4db8f6fedb4d103a3e.jpg?imwidth=420,2022,Tata,"10,971",Petrol,Automatic,9.9,West, Thane
https://images10.gaadi.com/usedcar_image/3897189/original/2a9b7465c836a71f4aeea7fd78704c7d.jpg?imwidth=420,2021,Tata,"45,000",Petrol,Manual,10.75,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,Mahindra,"13,800",Petrol,Automatic,17.0,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"19,807",Petrol,Manual,9.9,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Toyota,"1,21,000",Diesel,Manual,9.65,Santacruz(west) S.o, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Volkswagen,"92,000",Diesel,Manual,3.25,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2023,Nissan,"16,163",Petrol,Automatic,8.9,West, Thane
https://images10.gaadi.com/usedcar_image/3928730/original/processed_a6dc80f4373197d9efa8f98c1f7374a6.jpg?imwidth=420,2014,Volkswagen,"70,200",Petrol,Automatic,5.5,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3944910/original/processed_663d7537ee02c9c5fdab438eee2d5f19.jpg?imwidth=420,2021,Maruti,"27,927",Petrol,Manual,10.9,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3884278/original/44469525b8bb3f57d94b1a7ba4d52685.png?imwidth=420,2017,Hyundai,"75,194",Petrol,Manual,5.49,Santacruz Central, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Hyundai,"60,480",Petrol,Manual,3.98,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Mercedes-Benz,"77,000",Diesel,Automatic,29.85,Malad West, Mumbai
https://images10.gaadi.com/usedcar_image/3873731/original/processed_1dca932085c15e32bae14fefc533993d.jpeg?imwidth=420,2014,BMW,"49,000",Diesel,Automatic,21.0,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Hyundai,"1,700",Petrol,Automatic,17.75,Goregaon (w), Mumbai
https://images10.gaadi.com/usedcar_image/3933522/original/processed_77491c7df59a481413437a0f560a6fc8.jpg?imwidth=420,2019,Maruti,"3,506",Petrol,Automatic,5.5,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,"21,000",Petrol,Manual,5.9,Dahisar, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2005,Mercedes-Benz,"62,000",Petrol,Automatic,18.75,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3847721/original/processed_b83b83e77cefd09632a3693b9087d2fa.jpg?imwidth=420,2019,Maruti,"24,748",Petrol,Automatic,7.35,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3945988/original/processed_2de7f963d9709575e9d6b4441057c5fb.jpeg?imwidth=420,2022,Tata,"17,000",Diesel,Automatic,21.5,Khar (w), Mumbai
https://images10.gaadi.com/usedcar_image/3908232/original/processed_dcae312d26552e0d4b7a99103dd8456b.jpg?imwidth=420,2013,Audi,"39,000",Petrol,Automatic,10.5,Andheri West, Mumbai
https://images10.gaadi.com/usedcar_image/3933789/original/processed_8fa43b876ba1f57ad4313ee35c6af674.jpeg?imwidth=420,2013,Mercedes-Benz,"55,000",Diesel,Automatic,27.75,Khar (w), Mumbai
https://images10.gaadi.com/usedcar_image/3929780/original/processed_396f73401dd0aa0be13bfdbf268f149c.jpg?imwidth=420,2018,Mercedes-Benz,"45,300",Diesel,Automatic,35.75,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Maruti,"45,000",Petrol,Manual,5.95,Chembur, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,"52,000",Petrol,Manual,7.45,Mira Road East, Mumbai
https://images10.gaadi.com/usedcar_image/3890587/original/b71c63fd5039270efdcf5a21be6c00ea.jpg?imwidth=420,2020,Volkswagen,"45,029",Petrol,Manual,6.18,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,BMW,"70,300",Diesel,Automatic,22.0,Malad West, Mumbai
https://images10.gaadi.com/usedcar_image/3909636/original/processed_d596d3e3487b5f9bf41b4015e1ba0ef8.jpg?imwidth=420,2018,Maruti,"50,500",Diesel,Manual,8.0,Mulund West, Mumbai
https://images10.gaadi.com/usedcar_image/3908369/original/processed_b76258d9e27e94d3245b5fb299e8575c.jpg?imwidth=420,2018,Mercedes-Benz,"13,500",Petrol,Automatic,22.5,Andheri West, Mumbai
https://images10.gaadi.com/usedcar_image/3929673/original/processed_1c5d5133b3a25e792e1fabf7f6bfd6e6.jpg?imwidth=420,2017,Toyota,"30,000",Petrol,Automatic,11.25,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Ford,"46,370",Diesel,Automatic,25.5,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,"16,948",Petrol,Manual,6.85,Santacruz Central, Mumbai
https://images10.gaadi.com/usedcar_image/3921295/original/d50b19ddc68579b99cd0857e71482d52.jpg?imwidth=420,2012,Mercedes-Benz,"64,000",Diesel,Automatic,8.95,Bandra West, Mumbai
https://images10.gaadi.com/usedcar_image/3912897/original/6d2b20fc1edcd4d02e63079ba619ffe7.jpg?imwidth=420,2017,Maruti,"20,687",Petrol,Automatic,5.15,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"33,233",CNG,Manual,6.48,Goregaon East, Mumbai
https://images10.gaadi.com/usedcar_image/3871949/original/processed_6852e433c7b5e7132f96694b9e7204ff.jpg?imwidth=420,2016,Honda,"60,000",Petrol,Automatic,6.85,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Hyundai,"38,636",Petrol,Automatic,6.85,Borivali West, Mumbai
